1. Nikita Kucherov, RW, TBL (SAME)
2. Alex Ovechkin, LW, WSH (SAME)
3. Connor McDavid, C, EDM (SAME; INJ.)
4. Nathan MacKinnon, C, COL (SAME)
5. Patrick Kane, RW, CHI (+1)
6. Brad Marchand, LW, BOS (-1; INJ.)
7. Leon Draisaitl, C/LW, EDM (SAME)
8. David Pastrnak, RW, BOS (SAME; INJ.)
9. Sidney Crosby, C, PIT (+1)
10. Auston Matthews, C, TOR (-1)
11. Mitchell Marner, RW, TOR** (SAME)
12. Mikko Rantanen, RW, COL** (SAME)
13. Aleksander Barkov, C, FLA (+3)
14. Johnny Gaudreau, LW, CGY (SAME)
15. Artemi Panarin, LW, NYR (+5)
16. Patrice Bergeron, C, BOS (-3; INJ.)
17. Tyler Seguin, C, DAL (-2)
18. John Tavares, C, TOR (-1)
19. Taylor Hall, LW, NJD (+2; INJ.)
20. Steven Stamkos, C, TBL (-2)
21. Blake Wheeler, RW, WPG (-2)
22. Elias Pettersson, C, VAN (SAME)
23. Vladimir Tarasenko, RW, STL (SAME)
24. Brayden Point, C, TBL** (SAME)
25. Sebastian Aho, C, CAR (SAME)
26. Claude Giroux, C/LW/RW, PHI (+3)
27. Evgeni Malkin, C, PIT (-1)
28. Mark Scheifele, C, WPG (-1)
29. Patrik Laine, LW/RW, WPG** (-1; INJ.)
30. Jake Guentzel, LW/RW, PIT (+10)
31. Matthew Tkachuk, LW, CGY** (SAME)
32. Gabriel Landeskog, LW, COL (-2)
33. Jack Eichel, C, BUF (SAME)
34. Evgeny Kuznetsov, C, WSH (-2)
35. Alex DeBrincat, LW/RW, CHI (-1)
36. Mark Stone, RW, VGK (+1)
37. Alexander Radulov, RW, DAL (-1)
38. Jonathan Huberdeau, LW, FLA (+1)
39. Filip Forsberg, LW, NSH (+2)
40. Phil Kessel, RW, ARI (+4)
41. Nicklas Backstrom, C, WSH (+1)
42. Sean Monahan, C, CGY (-4)
43. Mika Zibanejad, C, NYR (+2)
44. Jamie Benn, C/LW, DAL (+2)
45. Max Pacioretty, LW, VGK (+2)
46. Logan Couture, C, SJS (+2)
47. Brock Boeser, RW, VAN** (-4)
48. Tomas Hertl, C/LW, SJS (+4; INJ.)
49. Timo Meier, LW/RW, SJS (+4)
50. Jonathan Marchessault, C/LW, VGK (+1)
51. Jakub Voracek, RW, PHI (-1)
52. Matt Duchene, C, NSH (+3)
53. Joe Pavelski, C/RW, DAL (+5; INJ.)
54. Sean Couturier, C, PHI (-5)
55. Jonathan Toews, C, CHI (-1)
56. Viktor Arvidsson, LW/RW, NSH (+3)
57. Dylan Larkin, C, DET (-22)
58. Teuvo Teravainen, LW/RW, CAR (-2)
59. Ryan O'Reilly, C, STL (-2)
60. Evgenii Dadonov, LW/RW, FLA (+2)
61. Ryan Nugent-Hopkins, C/LW, EDM (-1)
62. Tom Wilson, RW, WSH (-1)
63. Jack Hughes, C, NJD (SAME)
64. Mathew Barzal, C, NYI (SAME)
65. William Nylander, C/RW, TOR (+4)
66. Kaapo Kakko, RW, NYR (+4)
67. Clayton Keller, LW/RW, ARI (+20)
68. Kyle Connor, LW, WPG** (-1)
69. Brayden Schenn, C/LW, STL (-4)
70. Elias Lindholm, C/RW, CGY (-4)
71. Jeff Skinner, C/LW, BUF (-3)
72. Cam Atkinson, RW, CBJ (-1)
73. Mike Hoffman, LW/RW, FLA (+1)
74. Brendan Gallagher, RW, MTL (-2)
75. Evander Kane, LW, SJS (-2)
76. Anze Kopitar, C, LAK (-1)
77. Rickard Rakell, LW/RW, ANA (-1)
78. Kyle Palmieri, RW, NJD (+7)
79. Dylan Strome, C, CHI (-2)
80. Paul Stastny, C, VGK (+4)
81. William Karlsson, C, VGK (-3)
82. Max Domi, C/LW, MTL (-1)
83. T.J. Oshie, RW, WSH (-1; INJ.)
84. Bo Horvat, C, VAN (-5)
85. Andrei Svechnikov, LW/RW, CAR (-2)
86. Mats Zuccarello, RW, MIN (+2)
87. Anthony Mantha, LW/RW, DET (+8)
88. Pierre-Luc Dubois, C, CBJ (+2)
89. Vincent Trocheck, C, FLA (+8)
90. James van Riemsdyk, LW, PHI (+8)
91. Chris Kreider, LW, NYR (-5)
92. Reilly Smith, RW, VGK (-12)
93. Nazem Kadri, C, COL (NEW)
94. Ryan Johansen, C, NSH (-2)
95. Brady Tkachuk, LW, OTT (+1)
96. Mikael Granlund, LW/RW, NSH (-3)
97. Jordan Eberle, RW, NYI (+2)
98. Roope Hintz, C/LW, DAL (NEW)
99. J.T. Miller, LW/RW, VAN (+1)
100. Nick Schmaltz, C/LW, ARI (NEW - INJ.)
