1	Nathan MacKinnon	COL	C
2	Connor McDavid	EDM	C
3	Alexander Ovechkin	WSH	LW
4	Nikita Kucherov	TBL	RW
5	Leon Draisaitl	EDM	C
6	Jack Eichel	BUF	C
7	Patrick Kane	CHI	RW
8	Auston Matthews	TOR	C
9	Mika Zibanejad	NYR	C
10	Sidney Crosby	PIT	C
11	Artemi Panarin	NYR	LW
12	Sebastian Aho	CAR	C
13	Elias Pettersson	VAN	C
14	Brady Tkachuk	OTT	LW
15	Andrei Svechnikov	CAR	RW
16	Evgeni Malkin	PIT	C
17	Taylor Hall	BUF	LW
18	Mikko Rantanen	COL	RW
19	Max Pacioretty	VGK	LW
20	Patrik Laine	WPG	RW
21	Blake Wheeler	WPG	RW
22	Jonathan Huberdeau	FLA	LW
23	Evander Kane	SJS	LW
24	Matthew Tkachuk	CGY	LW
25	Brayden Point	TBL	C
26	Jake Guentzel	PIT	LW
27	Patrice Bergeron	BOS	C
28	Gabriel Landeskog	COL	LW
29	John Tavares	TOR	C
30	Mitch Marner	TOR	RW
31	Aleksander Barkov	FLA	C
32	Mark Stone	VGK	RW
33	Kyle Connor	WPG	LW
34	Mark Scheifele	WPG	C
35	Johnny Gaudreau	CGY	LW
36	Claude Giroux	PHI	LW
37	Jonathan Marchessault	VGK	LW
38	Steven Stamkos	TBL	C
39	Filip Forsberg	NSH	LW
40	Sean Couturier	PHI	C
41	Mathew Barzal	NYI	C
42	J.T. Miller	VAN	LW
43	Timo Meier	SJS	RW
44	Brendan Gallagher	MTL	RW
45	Pierre-Luc Dubois	CBJ	C
46	Jonathan Toews	CHI	C
47	Kevin Fiala	MIN	LW
48	Travis Konecny	PHI	RW
49	Sean Monahan	CGY	C
50	Teuvo Teravainen	CAR	LW
51	Evgeni Kuznetsov	WSH	C
52	Ryan Nugent-Hopkins	EDM	C
53	Brayden Schenn	STL	C
54	Anze Kopitar	LAK	C
55	Tom Wilson	WSH	RW
56	Brock Boeser	VAN	RW
57	Dylan Larkin	DET	C
58	Alex DeBrincat	CHI	LW
59	Ryan O'Reilly	STL	C
60	Jamie Benn	DAL	LW
61	Kirill Kaprizov	MIN	LW
62	Elias Lindholm	CGY	RW
63	Bo Horvat	VAN	C
64	William Nylander	TOR	RW
65	Mike Hoffman	N/A	LW
66	Nikolaj Ehlers	WPG	LW
67	Cam Atkinson	CBJ	RW
68	Oliver Bjorkstrand	CBJ	RW
69	Chris Kreider	NYR	LW
70	Nicklas Backstrom	WSH	C
71	David Perron	STL	LW
72	Kyle Palmieri	NJD	RW
73	Dominik Kubalik	CHI	RW
74	Alexander Radulov	DAL	RW
75	Alexis Lafreniere	NYR	LW
76	Vincent Trochek	CAR	C
77	Bryan Rust	PIT	RW
78	Jakub Vrana	WSH	LW
79	Anthony Mantha	DET	RW
80	Nazem Kadri	COL	C
81	Jeff Skinner	BUF	LW
82	Jakub Voracek	PHI	RW
83	Logan Couture	SJS	C
84	Rickard Rakell	ANA	LW
85	Tyler Toffoli	MTL	RW
86	Jaden Schwartz	STL	LW
87	Tomas Hertl	SJS	C
88	Blake Coleman	TBL	LW
89	Sam Reinhart	BUF	RW
90	Tomas Tatar	MTL	LW
91	Patric Hornqvist	FLA	RW
92	Clayton Keller	ARZ	LW
93	Anders Lee	NYI	LW
94	Kailer Yamamoto	EDM	RW
95	Andre Burakovsky	COL	LW
96	William Karlsson	VGK	C
97	Kaapo Kakko	NYR	RW
98	Jason Zucker	PIT	LW
99	Josh Anderson	MTL	RW
100	Evgenii Dadonov
