Connor McDavid, C, EDM: 75
Leon Draisaitl, C/LW, EDM: 72
Nathan MacKinnon, C, COL: 72
Artemi Panarin, LW, NYR: 70
Jack Eichel, C, BUF: 67
Brayden Point, C, TBL: 62
Mika Zibanejad, C, NYR: 62
Brad Marchand, LW, BOS: 61
Auston Matthews, C, TOR: 61
David Pastrnak, RW, BOS (INJ.): 60
Sidney Crosby, C, PIT: 60
Evgeni Malkin, C, PIT: 59
Mitchell Marner, RW, TOR: 59
Aleksander Barkov, C, FLA: 58
Mikko Rantanen, RW, COL: 58
Patrick Kane, RW, CHI: 58
Sebastian Aho, C, CAR: 57
Mark Scheifele, C, WPG: 57
Elias Pettersson, C, VAN: 56
Jonathan Huberdeau, LW, FLA: 56
Steven Stamkos, LW/RW, TBL: 56
John Tavares, C, TOR: 54
Alex Ovechkin, LW, WSH: 54
Patrice Bergeron, C, BOS: 53
Andrei Svechnikov, LW/RW, CAR: 52
Gabriel Landeskog, LW, COL: 51
Kyle Connor, LW, WPG: 51
Johnny Gaudreau, LW/RW, CGY: 50
Jake Guentzel, LW/RW, PIT: 50
Teuvo Teravainen, LW/RW, CAR: 50
Taylor Hall, LW, BUF: 49
Evgeny Kuznetsov, C, WSH: 49
Matthew Tkachuk, LW/RW, CGY: 49
Mark Stone, RW, VGK: 49
J.T. Miller, LW/RW, VAN (DTD): 48
William Nylander, LW/RW, TOR: 48
Ryan Nugent-Hopkins, C/LW, EDM: 48
Nicklas Backstrom, C, WSH: 47
Anze Kopitar, C, LAK: 47
Sean Couturier, C, PHI: 47
Patrik Laine, LW/RW, WPG: 47
Elias Lindholm, C/RW, CGY: 47
Ryan O'Reilly, C, STL: 47
Kevin Fiala, LW/RW, MIN: 46
Blake Wheeler, C/RW, WPG: 46
Anthony Mantha, LW/RW, DET: 46
Alexander Radulov, LW/RW, DAL: 46
Pierre-Luc Dubois, C, CBJ: 46
Mathew Barzal, C, NYI: 45
Claude Giroux, C/LW, PHI: 45
Victor Olofsson, LW/RW, BUF: 45
Alexis Lafreniere, LW, NYR: 44
Tomas Hertl, C/LW, SJS: 44
David Perron, LW/RW, STL: 44
Brock Boeser, RW, VAN: 44
Max Pacioretty, LW, VGK: 43
Travis Konecny, RW, PHI: 43
Jakub Vrana, RW, WSH: 43
Dominik Kubalik, LW/RW, CHI: 43
Oliver Bjorkstrand, LW/RW, CBJ: 43
Sean Monahan, C, CGY: 43
Andre Burakovsky, LW/RW, COL: 43
Logan Couture, C, SJS: 42
Bo Horvat, C, VAN: 42
Ondrej Palat, LW, TBL: 42
Filip Forsberg, LW, NSH: 42
Cam Atkinson, RW, CBJ: 42
Dylan Larkin, C, DET: 42
Jamie Benn, C/LW, DAL: 42
Brady Tkachuk, LW, OTT: 42
Jakub Voracek, RW, PHI: 41
Nick Suzuki, C/LW, MTL: 41
Alex DeBrincat, LW/RW, CHI: 41
Evander Kane, LW, SJS: 40
Max Domi, C/LW, CBJ: 40
Kirill Kaprizov, LW, MIN: 40
Tomas Tatar, LW/RW, MTL: 40
Nazem Kadri, C, COL: 40
Nikolaj Ehlers, LW/RW, WPG: 40
Bryan Rust, LW/RW, PIT: 39
Ryan Strome, C/RW, NYR: 39
Jonathan Marchessault, C/LW, VGK: 39
Brayden Schenn, C/RW, STL: 39
Nikita Gusev, LW/RW, NJD: 38
Brock Nelson, C, NYI: 38
T.J. Oshie, RW, WSH: 38
David Krejci, C, BOS: 38
Zach Parise, LW, MIN: 38
Matt Duchene, C/RW, NSH: 38
Alex Killorn, LW/RW, TBL: 38
Kailer Yamamoto, RW, EDM: 38
Chris Kreider, LW, NYR: 37
Kyle Palmieri, RW, NJD: 37
Reilly Smith, RW, VGK: 37
Anthony Cirelli, C, TBL: 37
Mikael Backlund, C/RW, CGY: 37
Brendan Gallagher, RW, MTL: 37
Mike Hoffman, LW/RW, STL: 37
Denis Gurianov, LW/RW, DAL: 37
Evgenii Dadonov, LW/RW, OTT: 37
Timo Meier, LW/RW, SJS: 36
Anthony Beauvillier, LW, NYI: 36
Jaden Schwartz, LW, STL: 36
Tom Wilson, RW, WSH: 36
Sam Reinhart, C/RW, BUF: 36
Pavel Buchnevich, RW, NYR: 36
William Karlsson, C, VGK: 36
Josh Bailey, LW/RW, NYI: 35
Rickard Rakell, LW/RW, ANA: 35
Jake DeBrusk, LW/RW, BOS: 35
Ryan Getzlaf, C, ANA: 35
Nico Hischier, C, NJD: 35
Jason Zucker, LW/RW, PIT: 35
Jesse Puljujarvi, RW, EDM: 35
Tyler Bertuzzi, LW/RW, DET: 35
Martin Necas, C/RW, CAR: 35
Alex Tuch, LW/RW, VGK: 35
Joe Pavelski, C/RW, DAL: 35
Patric Hornqvist, RW, FLA: 35
Brandon Saad, LW, COL: 35
Clayton Keller, LW/RW, ARI: 34
Nick Schmaltz, C/RW, ARI: 34
Jonathan Drouin, C/LW, MTL: 34
Roope Hintz, C/LW, DAL: 34
Andrew Mangiapane, LW/RW, CGY: 34
Ryan Johansen, C, NSH: 34
Dustin Brown, RW, LAK: 33
Anthony Duclair, LW/RW, FLA: 33
Kevin Hayes, C, PHI: 33
Zach Hyman, C/LW, TOR: 33
Cody Glass, C/RW, VGK: 33
Paul Stastny, C, WPG: 33
Tyler Toffoli, LW/RW, MTL: 33
Jeff Skinner, LW, BUF: 32
Kasperi Kapanen, LW/RW, PIT: 32
Jean-Gabriel Pageau, C, NYI: 32
Alex Iafallo, LW, LAK: 32
Adam Henrique, C/LW, ANA: 32
Kaapo Kakko, RW, NYR: 32
Eric Staal, C, BUF: 32
Craig Smith, RW, BOS: 32
Phil Kessel, RW, ARI: 32
Yanni Gourde, C/RW, TBL: 32
Vincent Trocheck, C, CAR: 32
Dominik Kahun, LW/RW, EDM: 32
Viktor Arvidsson, LW/RW, NSH: 31
Josh Anderson, RW, MTL: 31
Robert Thomas, C/RW, STL: 31
Grigori Denisenko, LW, FLA: 31
Tanner Pearson, LW, VAN: 31
Jack Hughes, C/LW, NJD: 30
Marcus Johansson, C/LW, MIN: 30
Quinton Byfield, C, LAK: 30
Conor Garland, LW/RW, ARI: 30
Jordan Eberle, RW, NYI: 30
Blake Coleman, LW/RW, TBL: 30
Alexandre Texier, C/LW, CBJ: 30
Trevor Zegras, C, ANA: 30
Tim Stuetzle, LW, OTT: 30
Oskar Lindblom, LW, PHI: 30
Joe Thornton, C, TOR: 30
Nick Foligno, C/LW/RW, CBJ: 29
John Leonard, LW, SJS: 29
Anders Lee, LW, NYI: 28
Joel Kiviranta, RW, DAL: 28
Christian Dvorak, C/LW, ARI: 28
Joel Farabee, LW/RW, PHI: 28
Emil Bemstrom, C/RW, CBJ: 28
Filip Zadina, LW/RW, DET: 28
Jake Virtanen, RW, VAN: 27
Nick Bjugstad, C/RW, MIN: 27
Andreas Johnsson, LW/RW, NJD: 27
Dylan Cozens, C, BUF: 27
Jakob Silfverberg, RW, ANA: 27
Ryan Donato, C/LW, SJS: 27
Nick Bonino, C, MIN: 26
Owen Tippett, RW, FLA: 26
Max Comtois, LW/RW, ANA: 26
Kevin Labanc, LW/RW, SJS: 26
Dylan Strome, C/RW, CHI: 25
Robby Fabbri, LW/RW, DET: 24
Josh Norris, C, OTT: 24
Danton Heinen, LW/RW, ANA: 24
Zack Kassian, RW, EDM: 24
Jesperi Kotkaniemi, C, MTL: 24
Nicholas Robertson, LW, TOR: 24
Joel Armia, RW, MTL: 24
Nils Hoglander, LW, VAN: 23
Jack Studnicka, C, BOS: 23
Joel Eriksson Ek, C, MIN: 23
Ondrej Kase, RW, BOS: 23
Patrick Marleau, LW/RW, SJS: 23
Jesper Boqvist, LW, NJD: 23
