Player,Age,Tm,Pos,GP,G,A,PTS,+/-,PIM,PS,EV,PP,SH,GW,EV.1,PP.1,SH.1,S,S%,TOI,ATOI,BLK,HIT,FOW,FOL,FO%,First,Last,CF,CA,CF%,CF% rel,FF,FA,FF%,FF% rel,oiSH%,oiSV%,PDO,oZS%,dZS%,TOI(EV),TK,GV,E+/-,SAtt.,Thru%
Aaron Ekblad\ekblaaa01,23,FLA,D,67,5,36,41,12,26,6.2,5,0,0,1,29,6,1,147,3.4,1539,22:59,84,34,0,0,,Aaron,Ekblad,1272,1134,52.9,4.9,962,850,53.1,4.9,10.9,90.0,100.8,48.7,51.3,19:11,37,74,-1.1,265,55.5
Aaron Ness\nessaa01,29,ARI,D,24,0,1,1,1,0,0.6,0,0,0,0,1,0,0,11,0.0,301,12:32,20,17,0,0,,Aaron,Ness,259,272,48.8,0.3,199,207,49.0,1.3,8.8,90.8,99.6,55.6,44.4,12:00,1,8,1.2,27,40.7
Adam Boqvist\boqviad01,19,CHI,D,41,4,9,13,-3,6,2.0,4,0,0,1,7,2,0,50,8.0,665,16:13,43,33,0,0,,Adam,Boqvist,550,584,48.5,0.5,419,458,47.8,1.1,9.2,91.0,100.2,58.4,41.6,13:53,10,26,-2.8,107,46.7
Adam Brooks\brookad01,23,TOR,C,7,0,3,3,1,0,0.2,0,0,0,0,3,0,0,2,0.0,55,7:51,1,0,5,5,50.0,Adam,Brooks,38,43,46.9,-6.6,28,32,46.7,-6.7,15.8,89.5,105.3,45.8,54.2,7:24,2,1,0.3,5,40.0
Adam Erne\ernead01,24,DET,LW,56,2,3,5,-24,28,-1.0,2,0,0,0,3,0,0,63,3.2,662,11:49,25,142,20,13,60.6,Adam,Erne,436,543,44.5,-1.9,330,415,44.3,-2.4,4.8,89.1,93.9,44.9,55.1,10:50,5,27,-2.3,106,59.4
Adam Fox\foxad01,21,NYR,D,70,8,34,42,22,32,7.4,7,1,0,4,22,12,0,125,6.4,1323,18:54,92,35,0,0,,Adam,Fox,1088,1014,51.8,7.5,840,747,52.9,8.1,11.4,91.6,103.0,53.9,46.1,16:44,57,61,7.6,243,51.4
Adam Gaudette\gaudead01,23,VAN,C,59,12,21,33,-7,37,3.0,8,4,0,1,13,8,0,75,16.0,731,12:23,20,29,187,267,41.2,Adam,Gaudette,575,671,46.1,-1.9,430,503,46.1,-2.7,10.3,90.7,101.1,59.6,40.4,10:42,23,15,-8.2,151,49.7
Adam Henrique\henriad01,29,ANA,C,71,26,17,43,-3,22,5.2,21,5,0,1,13,4,0,169,15.4,1198,16:52,32,75,512,419,55.0,Adam,Henrique,988,907,52.1,5.5,744,699,51.6,4.6,9.6,89.3,98.9,50.0,50.0,13:38,26,32,-0.5,281,60.5
Adam Johnson\johnsad01,25,PIT,C,7,1,1,2,-1,2,0.2,1,0,0,0,1,0,0,5,20.0,47,6:42,3,4,0,0,,Adam,Johnson,32,37,46.4,-3.9,25,28,47.2,-3.8,15.8,85.0,100.8,24.0,76.0,6:39,1,1,0.8,6,83.3
Adam Larsson\larssad01,27,EDM,D,49,1,5,6,0,35,1.8,1,0,0,0,5,0,0,61,1.6,972,19:50,82,112,0,0,,Adam,Larsson,766,855,47.3,0.0,587,625,48.4,1.1,8.8,91.8,100.6,44.3,55.7,17:50,16,35,-3.8,127,48.0
Adam Lowry\lowryad01,26,WPG,LW,49,4,6,10,-4,23,0.0,3,0,1,1,5,0,1,68,5.9,733,14:58,22,137,349,300,53.8,Adam,Lowry,499,586,46.0,-3.3,375,453,45.3,-2.8,5.8,93.3,99.2,38.6,61.4,12:30,31,11,-7.2,112,60.7
Adam Pelech\pelecad01,25,NYI,D,38,1,8,9,4,20,2.2,1,0,0,0,6,0,2,49,2.0,803,21:08,83,81,0,0,,Adam,Pelech,563,719,43.9,-3.5,409,510,44.5,-3.2,9.4,91.6,101.1,37.9,62.1,18:09,32,48,-3.7,115,42.6
