Name,GP,W,L,OL,PTS,PTS%,GF,GA,SRS,SOS,RPt%,RW,RgRec,RgPt%,Rk,Tm,PDO,CF,CA,CF%,FF,FA,FF%,xGF,xGA,aGF,aGA,axDiff,SCF,SCA,SCF%,HDF,HDA,HDF%,HDGF,HDC%,HDGA,HDCO%,Abv
Boston Bruins,70,44,14,12,100,0.7140000000000001,227,174,0.74,-0.02,0.679,38,38-14-18,0.6709999999999999,1,Boston Bruins*,101.5,3003,2905,50.8,2287,2208,50.9,133.2,122.4,141,106,24,1366,1307,51.1,368,405,47.6,62,14.4,48,10.6,BOS
Washington Capitals,69,41,20,8,90,0.652,240,215,0.41,0.04,0.5870000000000001,31,31-20-18,0.58,2,St. Louis Blues*,101.3,2944,2845,50.9,2262,2196,50.7,145.4,140.5,151,117,29,1414,1459,49.2,368,447,45.2,52,12.4,47,9.5,WSH
Tampa Bay Lightning,70,43,21,6,92,0.657,245,195,0.71,0.0,0.607,35,35-21-14,0.6,3,Tampa Bay Lightning*,101.9,3113,2856,52.2,2331,2197,51.5,147.9,135.8,162,123,27,1524,1344,53.1,485,377,56.3,73,13.1,49,11.5,TBL
Philadelphia Flyers,69,41,21,7,89,0.645,232,196,0.52,0.0,0.594,31,31-21-17,0.5720000000000001,4,Colorado Avalanche*,101.9,3242,3034,51.7,2379,2244,51.5,146.8,134.8,162,117,33,1467,1367,51.8,428,411,51.0,52,10.8,53,11.4,PHI
Pittsburgh Penguins,69,40,23,6,86,0.623,224,196,0.39,-0.02,0.5579999999999999,29,29-23-17,0.5429999999999999,5,Washington Capitals*,100.5,3096,2907,51.6,2319,2202,51.3,140.4,138.6,155,141,12,1481,1327,52.7,477,456,51.1,76,13.7,58,11.3,PIT
Carolina Hurricanes,68,38,25,5,81,0.596,222,193,0.41,-0.02,0.522,27,27-25-16,0.515,6,Philadelphia Flyers*,100.6,2953,2826,51.1,2222,2135,51.0,139.1,129.7,154,135,10,1395,1316,51.5,441,405,52.1,69,13.5,60,12.9,CAR
Toronto Maple Leafs,70,36,25,9,81,0.579,238,227,0.15,-0.01,0.5429999999999999,28,28-25-17,0.521,7,Vegas Golden Knights*,99.0,3531,2907,54.8,2670,2179,55.1,178.8,132.3,151,145,-41,1754,1351,56.5,545,430,55.9,66,10.8,66,13.3,TOR
Columbus Blue Jackets,70,33,22,15,81,0.579,180,187,-0.12,-0.02,0.5,25,25-22-23,0.521,8,Pittsburgh Penguins*,100.2,3030,2914,51.0,2313,2180,51.5,147.6,137.3,152,138,4,1412,1316,51.8,432,414,51.1,77,15.1,61,12.8,CBJ
New York Islanders,68,35,23,10,80,0.588,192,193,0.01,0.02,0.515,24,24-23-21,0.507,9,Edmonton Oilers*,99.8,2987,3255,47.9,2255,2412,48.3,140.2,146.7,143,157,-8,1389,1505,48.0,397,448,47.0,60,13.1,66,12.8,NYI
New York Rangers,70,37,28,5,79,0.564,234,222,0.15,-0.03,0.536,31,31-28-11,0.521,10,Dallas Stars*,99.9,2989,3054,49.5,2196,2249,49.4,142.0,136.2,109,112,-9,1474,1373,51.8,460,421,52.2,58,11.2,53,11.2,NYR
